time,date,hour,y,x
0,27-Dec-04,12:01,4843310.303,369259.8878
1,27-Dec-04,12:05,4843310.06,369260.9384
2,27-Dec-04,12:10,4843310.733,369261.1692
3,27-Dec-04,12:15,4843311.238,369260.9373
4,27-Dec-04,12:20,4843310.587,369264.0828
5,27-Dec-04,12:25,4843311.495,369256.8898
6,27-Dec-04,12:30,4843312.732,369256.6885
7,27-Dec-04,12:35,4843311.209,369262.387
8,27-Dec-04,12:40,4843313.93,369265.3085
9,27-Dec-04,12:45,4843249.063,369293.2195
10,27-Dec-04,12:50,4842982.204,369584.1407
11,27-Dec-04,12:55,4842873.807,369785.0408
12,27-Dec-04,13:00,4842721.904,369914.8231
13,27-Dec-04,13:05,4842944.19,370431.4352
14,27-Dec-04,13:10,4842944.532,370432.6907
15,27-Dec-04,13:15,4842913.067,370424.1113
16,27-Dec-04,13:20,4842931.908,370453.4183
17,27-Dec-04,13:25,4842967.09,370490.358
18,27-Dec-04,13:30,4842869.538,370728.7945
19,27-Dec-04,13:35,4842599.14,370825.1462
20,27-Dec-04,13:40,4842603.041,370884.8471
21,27-Dec-04,13:45,4842598.502,370881.6733
22,27-Dec-04,13:50,4842598.743,370878.9706
23,27-Dec-04,13:55,4842597.793,370880.4509
24,27-Dec-04,14:00,4842597.08,370880.5499
25,27-Dec-04,14:05,4842595.608,370881.3675
26,27-Dec-04,14:10,4842596.161,370879.815
27,27-Dec-04,14:15,4842599.335,370878.8451
28,27-Dec-04,14:20,4842595.556,370881.1892
29,27-Dec-04,14:25,4842593.659,370881.6199
30,27-Dec-04,14:30,4842595.386,370880.219
31,27-Dec-04,14:35,4842594.579,370882.3145
32,27-Dec-04,14:40,4842614.323,370831.1689
33,27-Dec-04,14:45,4842616.639,370825.1948
34,27-Dec-04,14:50,4842631.081,370833.3303
35,27-Dec-04,14:55,4842669.133,370812.1747
36,27-Dec-04,15:00,4842669.879,370812.0764
37,27-Dec-04,15:05,4842678.597,370804.8162
38,27-Dec-04,15:10,4842670.611,370812.719
39,27-Dec-04,15:15,4842663.99,370818.4325
40,27-Dec-04,15:20,4842668.935,370813.2022
41,27-Dec-04,15:25,4842670.604,370813.0573
42,27-Dec-04,15:30,4842670.637,370813.1224
43,27-Dec-04,15:35,4842679.061,370734.9514
44,27-Dec-04,15:40,4842668.155,370797.8136
45,27-Dec-04,15:45,4842673.502,370811.4294
46,27-Dec-04,15:50,4842670.462,370812.3616
47,27-Dec-04,15:55,4842672.187,370811.0736
48,27-Dec-04,16:00,4842672.464,370813.9876
49,27-Dec-04,16:05,4842672.85,370811.868
50,27-Dec-04,16:10,4842670.368,370812.6498
51,27-Dec-04,16:15,4842669.63,370812.2971
52,27-Dec-04,16:20,4842672.003,370809.1201
53,27-Dec-04,16:25,4842667.914,370813.1341
54,27-Dec-04,16:30,4842673.231,370812.8181
55,27-Dec-04,16:35,4842674.431,370812.8171
56,27-Dec-04,16:40,4842671.07,370811.3823
57,27-Dec-04,16:45,4842668.579,370812.0995
58,27-Dec-04,16:50,4842666.414,370816.0219
59,27-Dec-04,16:55,4842901.045,370513.9891
60,27-Dec-04,17:00,4843178.943,370431.0619
61,27-Dec-04,17:05,4843392.079,370512.3416
62,27-Dec-04,17:10,4844001.618,370526.7478
63,27-Dec-04,17:15,4844232.481,370551.6327
64,27-Dec-04,17:21,4844811.478,370552.8718
65,27-Dec-04,17:26,4845291.414,370575.7819
66,27-Dec-04,17:30,4845754.424,370734.7032
67,27-Dec-04,17:35,4846133.722,370808.5599
68,27-Dec-04,17:40,4846418.675,370920.5647
69,27-Dec-04,17:45,4846541.12,370722.4385
70,27-Dec-04,17:50,4846501.417,370363.9469
71,27-Dec-04,17:55,4846652.755,370080.9082
72,27-Dec-04,18:00,4846655.812,369701.1074
73,27-Dec-04,18:05,4846526.607,369597.5833
74,27-Dec-04,18:10,4846458.255,369430.0499
75,27-Dec-04,18:16,4846220.763,369125.7056
76,27-Dec-04,18:20,4846037.22,369016.1513
77,27-Dec-04,18:25,4845941.814,368918.7776
78,27-Dec-04,18:30,4845830.948,368849.9937
79,27-Dec-04,18:35,4845509.621,368886.852
80,27-Dec-04,18:41,4845354.102,368864.8909
81,27-Dec-04,18:46,4845309.965,368864.5385
82,27-Dec-04,18:51,4845027.484,368940.9166
83,27-Dec-04,18:55,4845124.843,368756.954
84,27-Dec-04,19:00,4844976.762,368648.3614
85,27-Dec-04,19:05,4844908.304,368719.1687
86,27-Dec-04,19:10,4844710.357,369024.7733
87,27-Dec-04,19:15,4844554.925,369064.5914
88,27-Dec-04,19:20,4844497.789,368982.7556
89,27-Dec-04,19:25,4844250.422,368736.1636
90,27-Dec-04,19:30,4844288.34,368428.3554
91,27-Dec-04,19:35,4844452.66,368065.9516
92,27-Dec-04,19:40,4844343.455,367757.6952
93,27-Dec-04,19:45,4844251.349,367606.8626
94,27-Dec-04,19:50,4844251.546,367606.4637
95,27-Dec-04,19:55,4844245.676,367592.6283
96,27-Dec-04,20:00,4844323.519,367723.1119
97,27-Dec-04,20:05,4844351.012,367721.7559
98,27-Dec-04,20:10,4844342.945,367719.5176
99,27-Dec-04,20:15,4844353.506,367722.0711
100,27-Dec-04,20:20,4844359.12,367719.0972
101,27-Dec-04,20:25,4844357.09,367714.4491
