FixID,DateTime,Latitude ,Longitude ,Altitude 
13,02/12/2014 13:23:49,38.5600436,-111.9422461,2919.223
14,02/12/2014 16:01:36,38.5599953,-111.9422844,2921.605
15,02/12/2014 20:01:53,38.5601806,-111.9417464,2919.387
16,02/13/2014 00:02:29,38.5574389,-111.9406169,2743.609
17,02/13/2014 04:01:26,38.5586278,-111.9345742,2632.688
20,02/13/2014 16:01:20,38.5664828,-111.9404333,2880.418
21,02/13/2014 20:01:36,38.5700422,-111.9279864,2711.559
22,02/14/2014 00:01:48,38.5736503,-111.9279069,2734.938
23,02/14/2014 04:01:23,38.5737222,-111.92788,2740.395
24,02/14/2014 08:01:04,38.5736,-111.9275869,2742.785
25,02/14/2014 12:01:04,38.5753875,-111.9286978,2813.922
26,02/14/2014 16:02:17,38.5737819,-111.9276617,2802.77
28,02/15/2014 00:01:19,38.5736514,-111.9281583,2741.418
29,02/15/2014 04:01:21,38.5737294,-111.9276964,2751.691
30,02/15/2014 08:01:42,38.5752019,-111.92829,2785.434
32,02/15/2014 16:01:20,38.5739292,-111.9282858,2717.441
33,02/15/2014 20:01:22,38.5737208,-111.9278978,2728.461
34,02/16/2014 00:01:17,38.5735539,-111.9274472,2736.625
35,02/16/2014 04:01:21,38.5736056,-111.92809,2750.555
38,02/16/2014 16:01:55,38.5739561,-111.9279917,2774.91
39,02/16/2014 20:00:59,38.5738836,-111.9276606,2748.645
43,02/17/2014 12:01:19,38.5739439,-111.9276397,2736.953
44,02/17/2014 16:01:20,38.5737883,-111.9277444,2748.68
45,02/17/2014 20:00:59,38.5738756,-111.9276725,2750.789
46,02/18/2014 00:01:15,38.57387,-111.9276111,2750.203
50,02/18/2014 16:01:19,38.5902669,-111.9317844,2911.25
51,02/18/2014 20:01:08,38.59142,-111.9302861,2798.336
53,02/19/2014 04:01:22,38.5931978,-111.9311381,2882.965
54,02/19/2014 08:01:21,38.5992278,-111.92659,2847.965
56,02/19/2014 16:01:20,38.6030011,-111.912565,2753.84
57,02/19/2014 20:01:01,38.6140681,-111.8841353,2390.344
58,02/20/2014 00:01:19,38.6090464,-111.8725067,2403.344
59,02/20/2014 04:02:04,38.6070408,-111.8754003,2438.641
61,02/20/2014 12:00:58,38.6019086,-111.90608,2540.957
65,02/21/2014 04:01:18,38.6147258,-111.9108447,2582.699
66,02/21/2014 08:01:40,38.6230436,-111.9183242,2817.754
69,02/21/2014 20:00:57,38.6147119,-111.9108569,2587.02
70,02/22/2014 00:01:12,38.60799,-111.8744964,2431.633
71,02/22/2014 04:01:19,38.6241222,-111.9175814,2760.074
72,02/22/2014 08:00:57,38.6240358,-111.9189308,2862.426
74,02/22/2014 16:01:21,38.6240517,-111.9188417,2870.18
